Name,Age,Place,Season ,1-on-1 week,FIR?,FIR,INTERNATIONAL,NE,NW,SE,SW,Race_0,Race_1,Race_2,Race_3,Race_4,CORPORATE,OTHER,POLITICS,TRADES,TRADITIONAL
"Allison ""Alli"" Travis[17]",24,8,15,5.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Lisa Morrisey[18],24,9,15,0.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Marissa May[20],26,9,15,0.0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
Ashley Spivey[21],26,11,15,2.0,Yes,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Lindsay Hill[22],25,12,15,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Meghan Merritt,30,12,15,0.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Stacey Quirpel,26,12,15,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Kimberly Coon[24],27,15,15,0.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Sarah Powell[26],27,15,15,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Madison Garton[27],25,15,15,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Keltie Busch[28],28,18,15,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Melissa Schreiber[30],32,18,15,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Raichel Goodyear[30],29,18,15,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Britnee Marks[30],25,21,15,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Cristy Caserta[32],30,21,15,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
"Jessica ""J"" Adams[9]",26,21,15,0.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Jill Ruskowski[22],28,21,15,0.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Lacey Garbelman[33],27,21,15,0.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Lauren Moore[34],26,21,15,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Lisa Pastrich,27,21,15,0.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Rebecca,30,21,15,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Renee Halpin,28,21,15,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Sarah Ledtke[35],25,21,15,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Courtney Robertson[7][8],28,1,16,1.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
Lindzi Cox[9],27,2,16,2.0,Yes,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Nicki Sterling[7],26,3,16,4.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Kacie Boguskie[10],24,4,16,1.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Emily O'Brien[11],27,5,16,2.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Rachel Truehart[12],27,5,16,3.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Jamie Otis[13],25,7,16,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Casey Shteamer[14],26,8,16,0.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Blakeley Jones [11],34,9,16,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Jennifer Fritsch[14],28,10,16,3.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Elyse Myers[14],24,11,16,4.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Monica Spannbauer[15],33,12,16,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Samantha Levey[16][17],26,13,16,0.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Erika Uhlig[18],23,14,16,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Jaclyn Swartz[19],27,14,16,0.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Brittney Schreiner[7],26,16,16,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Jenna Burke[20][21],27,17,16,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Shawn Reynolds[22],28,17,16,0.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Amber Bacon[23],23,19,16,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Amber Tierney[24][25],28,19,16,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Anna Snowball[20][26],25,19,16,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Dianna Martinez[17],30,19,16,0.0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
Holly Johnson[24],34,19,16,0.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Lyndsie James[24],29,19,16,0.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Shira Astrof[17],35,19,16,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Catherine Giudici[14],26,1,17,5.0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
Lindsay Yenter[15],24,2,17,4.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
AshLee Frazier[16],32,3,17,2.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Desiree Hartsock[17],26,4,17,1.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Lesley Murphy[18],24,5,17,2.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
Tierra LiCausi[19],24,6,17,6.0,Yes,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
Daniella McBride[20],24,7,17,0.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Selma Alameri[21],29,7,17,3.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
Sarah Herron[17][22],26,9,17,1.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Robyn Howard[16][23],24,10,17,0.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
